コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
3660,2024/06,28141000000,12187000000,9607000000,507000000,450000000,3185000000,139.37,39
3661,2024/03,19549000000,7141000000,7468000000,3776000000,-,-,176.59,32.5
3662,2024/07,16291000000,10274000000,9642000000,9818000000,-,25000000,552.21,62.9
3663,2023/12,8551524000,6660116000,6495431000,3977650000,-,-,200.6,76.1
3664,2023/12,2495876000,391923000,354692000,-971549000,200000000,982521000,7.96,14.2
3665,2024/01,13225199000,10525913000,10453160000,11186742000,-,-,264.26,79.3
3666,2024/03,9897785000,7298759000,6152319000,6199838000,-,360000000,373.76,72.5
3667,2023/12,1893395000,508544000,504779000,-7009271000,750000000,-,23.43,26.7
3668,2023/09,81695000000,76234000000,74673000000,66358000000,-,-,594.25,93.3
3670,2024/03,3278519000,2014703000,2011532000,1672530000,-,-,1682,61.5
3671,2023/12,6718729000,3219672000,3219672000,2474314000,1150000000,162060000,536.7,47.9
3672,2023/09,1897599000,954066000,946847000,-1579971000,-,-,48.24,49.9
3673,2023/12,36749771000,22486585000,22473492000,10057477000,-,-,253.08,61.2
3674,2023/09,7100239000,4630819000,3923081000,2381593000,1100000000,63350000,448.12,65.1
3675,2024/06,16630000000,7082000000,7037042000,6273212000,472587000,3352252000,367.19,42.6
3676,2024/03,21103096000,8852361000,7685971000,9137264000,7095072000,-,377.8,39.9
3677,2023/09,8589592000,6172563000,5734440000,5721211000,100000000,136666000,267.88,71.9
3678,2024/02,51612000000,16208000000,15262000000,3614000000,902000000,3128000000,1070.83,31.4
3679,2024/03,34535000000,19449000000,19449000000,17159000000,2255000000,1299000000,187.01,56.3
3680,2023/12,8490467000,6137394000,6137394000,804429000,132601000,639634000,391.28,72.3
3681,2023/12,12329168000,746056000,-1090802000,-3220036000,3881217000,3847500000,25.62,5
3682,2024/03,4882455000,3425813000,3419535000,2640742000,-,-,514.36,70.2
3683,2023/12,13053000000,7427000000,7355000000,4618000000,300000000,2186000000,659.6,56.3
3686,2024/03,3615167000,2942534000,1997911000,-2493921000,1000000,-,66.81,78.6
3687,2023/09,8182573000,5825092000,5443736000,5663216000,-,493018000,175.32,68.9
3688,2023/12,49863000000,23833000000,22985000000,9021000000,-,-,935.04,47.2
3690,2023/09,3164568000,1983193000,1922732000,1282821000,250000000,141510000,309.12,61.4
3691,2023/09,1688220000,526306000,490582000,-1084000000,378026000,57504000,136.62,29.1
3692,2024/03,3381074000,2181230000,2181230000,2056536000,-,-,275.77,64.5
3694,2024/03,9562534000,7342061000,7285980000,6188174000,314550000,-,131.65,75.8
3695,2023/12,2993556000,2047417000,2026299000,1380341000,-,-,1252.99,68.4
3696,2023/12,25915085000,10045828000,9025991000,4719572000,3413000000,2314085000,804.7,35.4
3697,2024/08,62717000000,34522000000,33964000000,23029000000,50000000,6671000000,1913.24,53.7
3698,2023/09,5159044000,3550469000,3493177000,2266378000,-,-,672.43,68.1
3708,2024/03,132978000000,83927000000,74038000000,62140000000,9550000000,12420000000,6516.71,57.8
3710,2023/09,5704699000,4660318000,4569439000,3959083000,-,32732000,908.06,81.2
3712,2023/09,6723238000,5496515000,5496515000,6400935000,-,-,1817.06,81.8
3719,2023/12,1199204000,1104326000,1103120000,-263735000,-,-,45.13,91.4
3723,2023/09,10128316000,9532527000,9532527000,9049393000,-,-,927.32,94.1
3726,2023/09,1643387000,518166000,515410000,-1216215000,300000000,144512000,63.88,31.4
3727,2023/12,3273407000,2554641000,2548958000,603558000,100000000,-,115.06,77.9
3733,2023/10,39916000000,31642861000,31510879000,30250525000,-,-,6052.69,79.3
3738,2024/03,248260000000,77404000000,76805000000,68720000000,-,-,1385.41,31.2
3739,2024/03,1744619000,794974000,780980000,-1036098000,375000000,56250000,57.9,44.6
3741,2024/03,10108931000,8398504000,8321541000,7308250000,36000000,-,1647.72,83.1
3744,2023/12,6706581000,1187961000,1157723000,-236541000,-,49500000,126.83,16.4
3747,2023/09,1723920000,1331226000,1319170000,-1060799000,100000000,66600000,183.59,76.5
3750,2024/03,5816334000,2795586000,2579016000,-458765000,70000000,2347079000,288.89,44.3
3753,2024/03,1657448000,452462000,478075000,-1921394000,93504000,296640000,47.85,27.3
3758,2023/12,21145000000,9682000000,9340000000,762000000,1795000000,3255000000,426.39,44.9
3760,2024/05,14357237000,6786213000,4893065000,5289902000,60000000,771199000,830.87,34.9
3762,2024/03,85756328000,27043507000,21744468000,16037638000,570000000,100000000,541.87,25.4
3763,2024/03,9729456000,7560025000,7234168000,11123098000,-,-,593.25,75.1
3765,2023/12,168045000000,149495000000,126073000000,198415000000,-,-,2127.97,75.9
3766,2024/03,6328107000,4459115000,4436026000,3849736000,-,-,1306.86,70.5
3768,2024/03,6786005000,6022311000,5208958000,3356658000,-,-,808.06,87.6
3769,2023/09,292346818000,94804843000,92274336000,50768961000,20395000000,8955000000,1216.66,31.6
3770,2024/04,6202494000,5677289000,5639493000,4359582000,-,-,472.45,91.5
3771,2024/03,16145739000,10524256000,10500689000,9434561000,-,661086000,628.68,65
3772,2024/03,55230248000,18545794000,18544374000,14521724000,4700000000,19648188000,972.38,33.6
3773,2024/03,15825658000,11257990000,10950437000,920156000,-,1911680000,722.82,71
3774,2024/03,273713000000,127032000000,125751000000,65616000000,30133000000,47000000,711.22,45.9
3775,2023/12,2008224000,1331263000,902776000,-1011555000,-,52650000,257.64,65.5
3776,2023/12,19478376000,11666623000,8067496000,656655000,500000000,2135562000,135.55,42.6
3777,2023/12,3375113000,3124856000,3124234000,192786000,-,12792000,11.04,92.5
3778,2024/03,30224447000,9321209000,8989147000,6372974000,417668000,3617408000,255.82,30.2
3779,2024/03,2618000000,352000000,229871000,-196876000,110500000,-,20.41,9
3782,2023/12,1754446000,937939000,935651000,-2126261000,-,-,19.39,53.5
3784,2023/12,22182000000,14829000000,13608921000,11954683000,175348000,24162000,817.54,63.4
3787,2024/03,2187119000,2070483000,2055767000,-2137584000,-,-,798.5,94.7
3788,2023/12,15693505000,8665473000,7337906000,6584312000,-,1260000000,749.9,55
3791,2024/05,14001674000,7318048000,7277023000,4654407000,-,-,381.1,52.1
3793,2024/03,14148422000,5668124000,5608084000,1926096000,100000000,4627300000,196.29,39.7
3796,2024/03,2540599000,1946719000,1946719000,738729000,-,-,282.08,76.6
3798,2024/03,11010000000,8843000000,8387000000,7325000000,-,-,1526.78,76.3
3799,2024/03,12525399000,8639663000,8397506000,6524039000,-,-,1073.12,69
3800,2024/03,15763203000,11725989000,11226467000,8965283000,-,-,1549.6,74.4
3802,2024/03,2110571000,1819530000,1763375000,799926000,-,91101000,387.7,86.2
3803,2024/03,627905000,336844000,327644000,72097000,-,-,167.07,53.6
3804,2023/10,6245623000,4093492000,4085331000,3125741000,-,313362000,639.33,65.5
3807,2023/12,2093215000,289906000,541584000,-1060130000,109702000,-,6.27,13.7
3808,2024/06,1430000000,185000000,190394000,-1673591000,-,-,3.96,11.3
3810,2024/05,2045000000,1152000000,1009000000,-5409000000,-,10000000,86.29,54.6
3814,2023/09,1577296000,13363000,10727000,-1551852000,336634000,732485000,2.79,0.7
3815,2024/08,2651000000,1045000000,1045088000,685269000,-,617869000,103.69,39.4
3816,2024/07,6121000000,5101000000,4768590000,4140952000,-,44122000,1316.16,83.3
3817,2024/03,47329000000,29227000000,26049000000,21998000000,90000000,-,2318.25,61.6
3823,2024/08,1534000000,776000000,717786000,-3663149000,45768000,415058000,10,48.8
3824,2024/05,716756000,359740000,359740000,5013000,15000000,104760000,382.7,50.2
3825,2024/03,19714000000,17969000000,17962000000,8462000000,100000000,422000000,149.32,91.1
3826,2024/02,4752783000,3665132000,3665132000,3030275000,-,-,335.7,77.1
3830,2024/04,14981086000,8837392000,8799494000,9525852000,-,1061243000,612.65,58.7
3834,2024/03,14279000000,12506000000,12313000000,12989000000,-,-,450.91,87.6
3835,2024/03,7809614000,6941701000,6837736000,6949945000,-,-,152.57,88.8
3836,2024/06,21896905000,13293728000,12994141000,13763738000,-,-,362.95,60.7
3837,2024/03,10201198000,7290751000,6688900000,5717483000,-,-,767.04,70.1
3839,2024/03,8694476000,6055246000,5860910000,4589479000,312579000,464946000,747.81,69.6
3840,2024/03,1677657000,1200635000,1193928000,-2031404000,-,-,21.2,71.2
3841,2024/03,4516169000,3534810000,3534810000,1907482000,-,-,918.29,78.3
3842,2024/03,3277838000,1959934000,1958748000,145204000,-,285871000,643.98,59.8
3843,2024/04,38183589000,15196827000,11463975000,8693075000,300000000,7629384000,582.26,30.5
3844,2024/03,23442000000,16805000000,16798000000,12228000000,200000000,-,527.06,71.7
3845,2024/03,1286970000,672063000,666912000,195019000,-,193284000,37.38,51.8
3847,2024/03,9244273000,6185114000,6039501000,5022482000,-,-,4180.22,66.9
3848,2024/03,6007000000,4569000000,4266794000,3993695000,-,59306000,743.08,76.1
3849,2024/03,1435221000,1197287000,1187455000,362617000,-,-,736.61,83.4
3850,2024/03,8530406000,4922847000,4892282000,3847656000,-,-,1014.07,57.7
3851,2024/03,10818220000,8084433000,6793207000,5744669000,255000000,876628000,1578.66,73.6
3852,2022/12,10760353000,6688356000,6688356000,5981698000,-,-,833.89,62.2
3853,2024/03,7587340000,5756971000,5582064000,543361000,242800000,214600000,332.12,73.6
3854,2024/07,14153000000,9680000000,9626300000,8962032000,-,-,386.75,68.4
3856,2024/06,150173000000,42432000000,22369000000,17800000000,28753000000,12703000000,1337.72,15.8
3857,2024/03,23770000000,15404700000,15381176000,7685432000,-,-,510.51,64.8
3858,2024/03,3732456000,2333422000,2195339000,-741505000,161780000,73325000,223.1,62.5
3861,2024/03,2442482000000,1095527000000,818313000000,645268000000,216476000000,335240000000,1083.06,43.7
3863,2024/03,1731245000000,495648000000,326487000000,7102000000,207176000000,577083000000,4062.18,27.1
3864,2024/03,235380000000,90954000000,60005000000,17336000000,62026000000,22281000000,2076.5,38.6
3865,2024/03,415629000000,252401000000,217798000000,140417000000,25889000000,44718000000,1496.54,60.5
3877,2024/03,128923000000,55601000000,53056000000,18347000000,24774000000,16862000000,4293.62,43.1
3878,2024/03,45713000000,19396000000,11574000000,8585000000,5992000000,4708000000,1417.31,32.2
3880,2024/03,939490000000,259831000000,223994000000,118274000000,15176000000,308400000000,1487.1,26.3
3891,2024/03,33975622000,22367062000,22131208000,16183895000,-,5948603000,2103.68,65.8
3892,2024/05,17822850000,12236475000,9995780000,8903949000,-,-,2643.3,68.7
3895,2024/03,13095579000,6731631000,6670686000,5543522000,-,1301206000,865.37,51.4
3896,2024/03,21246040000,6883976000,3696329000,1049954000,3685202000,2852066000,508.7,23.9
3900,2023/09,9995020000,6039056000,5758718000,298273000,533716000,163189000,372.95,57.9
3901,2023/12,7484288000,5504084000,5411438000,4751713000,-,-,416.51,73.5
3902,2023/12,6221216000,4317074000,4285096000,3795519000,-,-,111.21,68.3
3903,2024/04,19332572000,12242620000,10284663000,-3158534000,1000000000,633783000,301.84,61.8
3904,2023/12,11680219000,5930388000,5412638000,3385402000,300000000,1313326000,335.47,46.3
3905,2024/03,3786248000,1982624000,1904900000,-1541545000,600000000,379830000,111.78,50.6
3907,2023/11,3159000000,1758000000,1755000000,-537000000,-,344000000,611.37,55.6
3908,2024/03,1752183000,1104784000,1074029000,609226000,10000000,150000000,239.18,61.3
3909,2023/12,3461127000,1509958000,881116000,-189304000,809998000,555004000,126.63,25.5
3910,2024/03,2558060000,816143000,807706000,386973000,300000000,722059000,148.82,31.6
3911,2023/12,7396620000,4776946000,4475863000,-674661000,500000000,-,111.44,60.5
3912,2023/12,3870210000,3004648000,3019048000,3429197000,-,-,381.09,77.6
3913,2023/12,1189656000,1064132000,1034562000,-139956000,-,-,471.57,89.4
3914,2023/12,3492837000,2589986000,2430542000,2435249000,-,-,381.2,72.1
3915,2024/02,18446600000,12553930000,7745198000,4781663000,200000000,5958000,863.53,60.2
3916,2024/06,10217000000,7058000000,6863813000,6783090000,-,179580000,465.51,68.1
3917,2024/03,5501757000,2224534000,2144530000,-438545000,500000000,675000000,298.25,39
3918,2023/09,17627554000,9098650000,8517322000,3075602000,-,680892000,852.1,48.7
3919,2022/02,9337723000,5487566000,5475201000,5087438000,1100000000,212496000,694.78,58.7
3920,2023/09,3264088000,1827194000,1772748000,1129458000,800000000,50018000,330.45,56
3921,2024/01,8622954000,6339821000,6260342000,5706096000,-,-,427.03,73.4
3922,2024/02,7071492000,5662903000,5660638000,4891507000,-,-,421.2,80
3923,2024/03,21234000000,13347000000,13365000000,12681000000,-,216000000,73.65,62.9
3924,2024/03,8712000000,5773000000,5647724000,4878413000,-,-,320.55,66
3925,2024/03,6584230000,5568693000,5454709000,5032832000,-,-,403.58,82.8
3926,2024/03,5663370000,5111675000,4710494000,3606458000,-,-,164.36,90
3927,2024/03,4352150000,1375265000,1320459000,39206000,-,48000000,255.3,30.5
3928,2023/12,3743309000,1254089000,1116936000,-222804000,235001000,315000000,136.59,30.7
3929,2024/03,1336314000,85902000,16699000,-548721000,160672000,100016000,13.09,5.9
3930,2024/07,2909000000,2559000000,2546436000,2205857000,-,-,866.28,88
3931,2024/01,2634493000,1163612000,1158847000,402036000,850000000,123436000,642.69,44.1
3932,2024/03,52043000000,40211000000,39540000000,34243000000,-,4100000000,2772.94,76.8
3933,2024/03,6119090000,2712079000,2697964000,2703423000,16812000,43062000,363.26,44.1
3934,2024/03,11202778000,7247714000,7244988000,6424286000,850000000,581254000,1229.94,64.7
3935,2024/02,2401643000,1142241000,1141395000,401956000,140000000,383847000,186.26,47.5
3936,2024/03,1948345000,1481244000,1029244000,-516651000,30000000,6640000,28.6,53.4
3937,2024/03,6883815000,4719793000,4423818000,3134605000,100000000,-,395.82,68.2
3939,2023/09,5653058000,3174949000,3166957000,3247776000,-,859524000,66.88,56.2
3940,2023/12,3441515000,3042968000,3042898000,2447393000,-,-,65.62,88.4
3941,2024/03,1172515000000,438978000000,331801000000,279627000000,131820000000,188061000000,1716.96,36.3
3943,2024/03,26072000000,17740000000,17125000000,17281000000,580000000,-,4566.45,67.8
3944,2023/12,19015000000,9450000000,6508000000,3866000000,1010000000,1121000000,7821.46,45.6
3945,2024/03,15597000000,4153000000,3380000000,1141000000,1352000000,2075000000,2793.48,26.5
3946,2024/03,213366000000,89203000000,79858000000,59090000000,13511000000,47355000000,5391.17,41.5
3947,2023/12,73026949000,42909805000,32643589000,12490173000,865163000,388973000,4305.43,58.6
3948,2023/12,11376126000,9427455000,9082659000,7852971000,-,-,1689.34,82.9
3950,2023/12,98847000000,71156000000,68092000000,64975000000,-,9000000,3736.37,71.9
3951,2024/03,68698495000,34171990000,31482373000,28743512000,74963000,10598785000,1548.49,48.1
3952,2024/03,16054309000,13606789000,12339998000,10353760000,-,-,2739.49,84.8
3953,2024/03,7749436000,5091059000,5027924000,3907894000,-,-,1429.4,65.7
3954,2024/03,33316898000,23799922000,17757574000,16836668000,1199340000,42169000,5190.43,69.2
3955,2024/01,20556000000,16222000000,15115000000,12960000000,-,58000000,1612.3,78.7
3958,2024/06,15414000000,9465000000,7210868000,6823272000,300000000,100446000,1643.23,61.4
3961,2023/12,1505302000,1377976000,1377976000,822802000,-,-,464.45,91.5
3962,2024/03,89325000000,47662000000,39549000000,18000000000,3652000000,19286000000,546.59,44.3
3963,2024/03,5070717000,4292129000,4290263000,3339777000,-,-,160.11,84.6
3964,2023/12,37664151000,22310994000,21724705000,17340325000,-,-,936.82,58.8
3965,2023/09,5545948000,3149290000,2966683000,1203465000,500000000,347354000,536.42,55.4
3967,2024/02,6898024000,2609886000,2558767000,50692000,541200000,2091900000,423.24,37
3968,2023/12,11831431000,4014375000,3961152000,3520077000,-,544101000,117,33.3
3969,2024/03,5726669000,4604655000,4553157000,3309722000,-,-,608.12,79.5
3970,2024/03,4678359000,3567143000,3524170000,1151398000,-,200004000,1330.61,75.3
3974,2023/10,2976052000,1844522000,1847081000,2174072000,-,178520000,668.18,62
3976,2023/10,2024290000,39534000,29783000,-711357000,-,242052000,12.15,1.9
3977,2024/02,595703000,378643000,374712000,98454000,-,9608000,260.11,62.9
3978,2024/06,89205000000,45799000000,40741000000,27993000000,698000000,29800000000,1077.68,45.7
3979,2024/03,6051359000,2811870000,2811076000,753710000,-,158329000,406.37,46.5
3981,2023/12,18384958000,6953242000,6953242000,3501267000,2000000000,2805000000,1153.25,37.8
3983,2023/12,12373522000,8884280000,8884053000,6620867000,-,-,550.91,71.8
3984,2024/06,8835000000,7724000000,7724850000,5179057000,-,-,477.91,87.4
